Source,Target,Date,Preuves,Mea Culpa ?
Garou,Chanson pédophile,2021,https://www.apar.tv/alt-news/garou-a-fait-lapologie-de-la-pedocriminalite-dans-sa-chanson-criminel/,
Garou,Co-propriétaire d’un bar ouvertement raciste. ,2022,,
Gary Barber,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Gene Stupinski,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Genevieve Angelson,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Geoffroy de Vries,Manif pour tous,2011-2014,https://www.lefigaro.fr/vox/politique/2014/11/17/31001-20141117ARTFIG00357-mariage-pour-tous-oui-on-peut-abroger-la-loi-taubira.php,
Gérald Darmanin,Homophobie,,,
Gérald Darmanin,Racisme,,,
Gérald Darmanin,Validation de violences policières,,,
Gérald Darmanin,Viol,2013-2022,,
Gérald Darmanin,Fascisme ,Ministériat de l’intérieur,Répression violente des manifestations.,
Gérard Leclerc (né Coustenoble),Manif pour tous,,,
Ghislain Lafont,Manif pour tous,,,
Gideon Raff,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Gilbert Collard,Manif pour tous,,,
Gina Gershon,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Ginnifer Goodwin ,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Grant Singer,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Greg Berlanti,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Gringe,VSS,,,
Guy Nattiv,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Guy Oseary,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Gwyneth Paltrow,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Hannah Fidell,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Hannah Graf,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Harlan Coben,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Harold Brown,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Harvey Keitel,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Harvey Weinstein,"Viols, agressions sexuelles, chantage",Vie,,
Heidi Jo Markel,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Helen Mirren,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Helena Bonham-Carter,Soutient Depp,,,
Henri de Castries,Lobbyiste,Vie,,
Henrietta Conrad,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Henry Winkler,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Hervé Mariton,Manif pour tous,2011-2014,,
Holland Taylor,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Howard Gordon,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Iain Morris,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Imran Ahmed,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
In the Panda,Viol et corruption de mineures,2022,https://www.bfmtv.com/police-justice/le-youtubeur-in-the-panda-accuse-de-viol-d-agressions-sexuelles-et-de-corruption-de-mineurs_AN-202212160574.html,
